paper_id,ref,axis,import_status,framework,pattern,confidence,evidence,rationale,claim_class,provenance
T1_20,Xia Deyou 2024,1,internal,-,,med,log,GB + three-way approximation fusion + multigranularity fuzzy entropy; native,,
T1_21,Jensen 2007,1,background,-,,high,body,Foundational fuzzy-rough attribute selection; cited as method context,,
T1_22,Cornelis 2010,1,background,-,,high,body,Foundational fuzzy decision reducts; background,,
T1_23,Yao 2010,1,background,-,,high,body,Foundational three-way decisions; background,,
T2A_01,Zhu 2007,2a,import,point-set topology,A (partial),high,fulltext,"Section 4.1: topological view of covering RS characterises when coverings yield the same approximation operators; topological operators shown equivalent to known approximation operators, no independent performance claim (taxonomic)",a,Inf Sci 177(2007) 1499-1508; abstract + axiomatic-systems sec: conditions under which two coverings give the same lower/upper approximation operator. No experiments.
T2A_02,Yao W. 2023,2a,import,Alexandrov topology,A,high,fulltext,"Section 4.1: the four main RS models are all instances of one Alexandrov-topological framework; unification/reduction, no new quantity",a,Inf Sci 627(2023) 238-250; unification of four RS models under one Alexandrov-topological framework. No experiments.
T2A_03,Al-shami 2025,2a,import,general topology (delta-open sets),A,high,fulltext,Section 4.1: progressive weakening of the open-set axiom trivially yields coarser granules and a smaller boundary region; the improvement is a definitional consequence and is never benchmarked against NRS/GBNRS,a,"J Math 2025 art.8990430, 12pp; Table 1 is a worked example, not a benchmark; paper states the accuracy measure ""decreases for some subsets"" vs the existing one. No experiments."
T2A_04,Wang Xue 2019,2a,import,topology (CRT spaces),A (equivalence),high,fulltext,Covering RS via topological methods; separation axioms in CRT spaces; taxonomic with no performance claim; not discussed individually in the body,a,"CAAI Trans Intel Tech 2019, doi 10.1049/trit.2019.0008; Theorems 1-6 give equivalent conditions for separation axioms in CRT spaces; Conclusion claims equivalence results only. No experiments."
T2A_05,Zhang 2009,2a,import,Alexandrov topology,A,high,fulltext,Clarification note: a proposed generalised RS from reflexive+transitive relations was already the known Alexandrov topology; an explicit documented reduction,a,Inf Sci 179(2009) 471-473; three-page Note showing a proposed generalised RS was already the known Alexandrov structure. No experiments.
T4_09,Dai T.T. 2024,2a,import,intuitionistic fuzzy topology,not established,med,fulltext,"Full text, verified against Tables 7/8/12/14 and Definitions 5.1-5.2: F_IFT's significance measure is a difference of IF-subbase distances (Sig_R(a)=zeta(S_Y,S_YuRua)-zeta(S_Y,S_YuR)), not an alpha-cut construction; whether it reduces to NRS dependency is NOT established either way and is not asserted. Independent of that question, the tables show a genuine mixed result: F_IFT's advertised 50% reduct-size gain comes with an undisclosed accuracy cost -- 7-9pp BELOW both the all-features baseline and Tan et al. 2019's classical positive-region filter on both KNN and SVM (Tables 7-8), a result the abstract omits. FW_IFT adds a genuinely novel stack-based wrapper search (Algorithm 2, confirmed with the corresponding author) that recovers the loss and edges past both baselines by 2-3pp (Tables 12/14) -- but that margin is exactly the scale Section 8.1 shows is noise-floor on UCI-size benchmarks, and no significance test or dispersion is reported anywhere in the paper. Net: one genuinely novel, comparatively-evidenced construction (the wrapper) sits alongside one undisclosed negative result (the filter alone); coded class (b) on the strength of the wrapper, with the reporting gap flagged as the open issue rather than a settled Pattern-A claim.",b,"Soft Computing 28(2024) 11799-11822; Def 5.1 (IF-subbase difference zeta), Def 5.2 (significance Sig_R), Algorithm 2 (stack-based wrapper: ST/RW/RF state, wrapper phase run 10x per classifier); Tables 7-8 (F_IFT vs F_IFD/F_IFPOS[Tan2019]/F_IFE/|C| on KNN+SVM: F_IFT 72.68/71.21 vs |C| 79.63/80.02 vs Tan2019IFPOS 80.51/80.33); Tables 12+14 (FW_IFT 82.68/82.19 vs |C| 79.74/79.26 vs FW_IFD 76.7/76.28); zero significance tests, zero dispersion measures anywhere in the paper."
T2B_01,Kindelan 2021 (TDABC),2b,import,TDA / persistent homology,A,high,fulltext,"Section 4.3: star/link operators on a PH-selected sub-complex define neighbourhoods; the star operator in a Vietoris-Rips complex at scale epsilon is, for finite point clouds, equivalent to the fixed-radius ball neighbourhood",b,"Adv Data Anal Classif 18(2024) 493-538; Def.2 star/link, Defs.5-7 association/extension/labeling functions carry the novelty; compared against KNN, weighted-KNN, linear SVM and RF on eight datasets; claim hedged (""competitive with SVM and RF""). No significance test."
T2B_02,Su 2025,2b,background,-,,high,log,TDA/TDL review; background,,
T2B_03,Salnikov 2018,2b,background,-,,high,log,Introductory simplicial-complex reference; background,,
T3_01,Dai J. 2018,3,internal,-,,high,body,Maximal-discernibility-pair attribute reduction; native discernibility method and the baseline that Example A3 reduces to,,
T3_02,Sowkuntla 2021,3,internal,-,,med,log,MapReduce parallelisation of fuzzy-rough discernibility; native method + engineering,,
T3_03,Luo 2025,3,internal,-,,med,log,Discernibility hashing (data-structure speedup); native,,
T3_04,Kuzudisli 2023,3,background,-,,high,body,Prior review of grouping-based FS; prior-survey comparison,,
T3_05,Cai 2018,3,background,-,,high,log,General FS survey; background,,
T3_06,Wang Cz. 2019,3,internal,(free distance parameter),,low,log,Fuzzy-rough reduction with a variable distance parameter; native FRS metric variant. Exhibits the free-metric-parameter concern behind Pattern C but imports no external framework,,
T4_01,Cover 1967,4,background,-,,high,body,Foundational NN Bayes-error bound; background theory,,
T4_02,Drakopoulos 1995,4,background,-,,high,log,Finite-sample NN error bounds; background theory,,
T4_03,Wheat 2025,4,background,-,,med,log,Bayes-error-rate estimator comparison; background methodology with no GrC content,,
T4_04,Santos 2022,4,background,-,,high,body,Class-overlap/imbalance unifying survey; background,,
T4_05,Han 2024,4,background,-,,med,log,Data-complexity measure for imbalanced classification; background with no GrC import,,
T4_06,Zhang J. 2022,4,background,-,,high,body,"Programmatic-weak-supervision survey; Section 6.3 notes weak supervision has not been imported into GrC, so this reference documents the gap rather than being an instance",,
T4_07,Wang Rx. 2018,4,background,-,,high,log,Label-noise learning theory; background with no GrC import,,
T4_08,Yuan 2021,4,background,-,,high,body,Prior fuzzy-RS reduction survey; prior-survey comparison,,
T4_10,Qian W. 2024,4,import,weak supervision (partial-label learning),A (partial),med,fulltext,"Full text: feature significance = fuzzy dependency (weighted fuzzy-rough dependency + label significance) fused with feature discernibility; the dependency term is a known granular quantity on instance-distribution-disambiguated labels. Reports 'Base' no-selection baseline (ablation Fig 7), Bonferroni-Dunn, alpha sensitivity.",b,"Appl Soft Comput 161(2024) 111692; feature significance = weighted fuzzy-rough dependency + label significance, fused with feature discernibility; the dependency term is a known granular quantity computed on instance-distribution-disambiguated labels. 'Base' no-selection baseline (ablation Fig 7), Bonferroni-Dunn, alpha sensitivity."
T4_11,Qian W. 2022,4,import,weak supervision (incomplete-label label distribution learning),A,high,fulltext,Full text: 'local rough set' = neighbourhood rough set with the universe restricted to labelled objects; feature significance = increment of the neighbourhood inclusion/dependency degree D(delta_D|delta_C). The 'local' restriction handles incomplete labels; the granular quantity itself is standard NRS dependency. Friedman + Bonferroni-Dunn.,b,"Int J Mach Learn Cybern 13(2022) 2345-2364; the 'local rough set' is a neighbourhood rough set with the universe restricted to labelled objects (Sec.3), and feature significance is the increment of the neighbourhood inclusion/dependency degree D(delta_D|delta_C); the 'local' restriction handles incomplete labels, the granular quantity is standard NRS dependency. Friedman + Bonferroni-Dunn."
T4_12,Qian W. 2023,4,import,weak supervision (partial-label learning),A (partial),high,fulltext,"Full text: Definition 1 states the NRS positive region and dependency degree gamma^delta_B(D)=|POS|/|U| verbatim; feature-dependency significance sig_gamma is standard NRS significance on granular-ball-disambiguated labels, fused with a label-consistency term sig_eta. Ablation: dependency alone does not beat the no-selection baseline. Reports baseline, mean+/-std, beta sensitivity.",b,"Inf Fusion 94(2023) 152-169; Definition 1 writes the NRS positive region and dependency degree gamma^delta_B(D)=|POS|/|U| verbatim; feature-dependency significance sig_gamma is standard NRS significance on granular-ball-disambiguated labels, fused with a label-consistency term sig_eta. Ablation shows dependency alone does not beat the no-selection baseline. Reports baseline, mean+/-std, beta sensitivity."
T5_01,Zhang Yc. 2023,5,internal,-,,high,body+log,"NRS + Gini index; native. Key Section 8 methodology exemplar (the paper's own statistics show no significant difference vs four classical NRS methods yet it is framed as an improvement). This is the methodology critique of Section 8, not Pattern C as defined for imported quantities",,
T5_02,Wang Ning 2023,1,internal,-,,low,log,Weighted k-NN NRS (weight variant); native (peripheral),,
